date-time,ANN1,ANN2,ANN3,ANN4,ANN5
14/03/2024 22:43:01,32,32,32,32,31
14/03/2024 22:43:03,30,31,31,30,31
14/03/2024 22:43:05,32,32,32,32,32
14/03/2024 22:43:08,31,30,31,32,31
14/03/2024 22:43:10,32,32,31,32,31
14/03/2024 22:43:12,32,32,32,32,32
14/03/2024 22:43:15,31,29,31,29,30
14/03/2024 22:43:17,31,31,31,31,30
14/03/2024 22:43:19,30,31,30,30,31
14/03/2024 22:43:21,31,31,31,31,31
14/03/2024 22:43:23,31,32,31,31,31
14/03/2024 22:43:26,31,31,31,31,31
14/03/2024 22:43:28,32,30,32,32,32
14/03/2024 22:43:30,30,30,31,30,30
14/03/2024 22:43:32,28,29,30,29,29
14/03/2024 22:43:34,31,31,31,31,31
14/03/2024 22:43:37,32,32,30,32,32
14/03/2024 22:43:39,31,31,31,31,31
14/03/2024 22:43:42,28,30,30,30,30
14/03/2024 22:43:44,29,29,30,30,30
14/03/2024 22:43:46,27,28,28,27,28
14/03/2024 22:43:48,30,30,30,30,30
14/03/2024 22:43:50,32,32,32,32,32
14/03/2024 22:43:53,29,28,29,30,31
14/03/2024 22:43:55,30,32,32,30,30
14/03/2024 22:43:57,29,30,29,30,30
14/03/2024 22:43:59,27,28,28,28,29
14/03/2024 22:44:01,32,32,31,32,32
14/03/2024 22:44:03,30,31,31,30,32
14/03/2024 22:44:06,32,31,31,32,32
14/03/2024 22:44:08,31,31,31,31,31
14/03/2024 22:44:10,28,29,29,27,28
14/03/2024 22:44:12,31,31,31,31,31
14/03/2024 22:44:15,31,30,31,31,31
14/03/2024 22:44:17,31,32,32,31,32
14/03/2024 22:44:19,31,32,31,32,32
14/03/2024 22:44:21,32,31,31,31,30
14/03/2024 22:44:24,30,31,30,31,30
14/03/2024 22:44:26,31,30,30,30,30
14/03/2024 22:44:28,31,31,31,31,31
14/03/2024 22:44:30,32,32,31,32,32
14/03/2024 22:44:33,30,31,31,30,31
14/03/2024 22:44:35,32,32,32,32,32
14/03/2024 22:44:38,28,29,28,28,29
14/03/2024 22:44:40,31,31,31,31,31
14/03/2024 22:44:42,30,30,30,30,30
14/03/2024 22:44:44,31,31,31,30,31
14/03/2024 22:44:47,31,31,31,31,31
14/03/2024 22:44:49,30,32,32,30,31
14/03/2024 22:44:51,31,31,31,31,31
14/03/2024 22:44:53,31,30,30,31,31
14/03/2024 22:44:56,29,30,30,30,31
14/03/2024 22:44:58,29,28,30,31,29
14/03/2024 22:45:01,28,27,29,30,29
14/03/2024 22:45:03,30,30,30,30,30
14/03/2024 22:45:05,32,31,31,31,32
14/03/2024 22:45:07,30,30,30,30,30
14/03/2024 22:45:10,31,31,31,31,30
14/03/2024 22:45:12,31,31,31,31,31
14/03/2024 22:45:14,32,32,32,32,32
14/03/2024 22:45:17,31,32,32,31,31
14/03/2024 22:45:19,32,32,32,32,32
14/03/2024 22:45:21,30,31,31,31,31
14/03/2024 22:45:23,30,30,29,30,29
14/03/2024 22:45:26,32,32,32,32,32
14/03/2024 22:45:28,32,32,31,31,31
14/03/2024 22:45:30,30,31,30,31,30
14/03/2024 22:45:32,30,31,31,31,31
14/03/2024 22:45:34,31,31,31,31,31
14/03/2024 22:45:37,31,32,32,32,32
14/03/2024 22:45:39,31,30,31,31,31
14/03/2024 22:45:41,32,32,32,32,32
14/03/2024 22:45:44,32,32,32,32,31
14/03/2024 22:45:46,30,30,29,30,29
14/03/2024 22:45:48,29,29,30,30,27
14/03/2024 22:45:50,30,30,30,30,30
14/03/2024 22:45:53,32,32,32,32,32
14/03/2024 22:45:55,32,32,32,32,32
14/03/2024 22:45:57,32,32,31,31,31
14/03/2024 22:46:00,32,32,32,31,31
14/03/2024 22:46:02,30,31,30,29,30
14/03/2024 22:46:04,32,31,31,31,31
14/03/2024 22:46:06,30,30,30,30,31
14/03/2024 22:46:09,31,31,31,31,31
14/03/2024 22:46:11,31,31,31,31,31
14/03/2024 22:46:13,32,32,32,32,31
14/03/2024 22:46:15,31,31,31,31,31
14/03/2024 22:46:18,30,31,29,30,31
14/03/2024 22:46:20,31,31,30,31,31
14/03/2024 22:46:22,31,30,30,32,32
14/03/2024 22:46:24,32,32,32,32,32
14/03/2024 22:46:27,31,31,30,31,31
14/03/2024 22:46:29,31,32,31,32,32
14/03/2024 22:46:31,31,30,31,30,30
14/03/2024 22:46:34,32,31,31,31,32
14/03/2024 22:46:36,32,32,32,32,32
14/03/2024 22:46:38,31,31,31,31,31
14/03/2024 22:46:41,30,31,31,29,31
14/03/2024 22:46:43,32,32,32,32,32
14/03/2024 22:46:46,32,32,32,32,32
14/03/2024 22:46:48,32,31,31,30,32
14/03/2024 22:46:50,31,31,31,31,31
14/03/2024 22:46:53,31,32,32,32,32
14/03/2024 22:46:55,32,31,32,31,31
14/03/2024 22:46:57,30,31,31,31,30
14/03/2024 22:47:00,30,30,30,31,30
14/03/2024 22:47:02,30,30,30,30,30
14/03/2024 22:47:04,32,32,32,32,32
14/03/2024 22:47:06,30,30,31,31,31
14/03/2024 22:47:09,32,32,32,32,32
14/03/2024 22:47:11,29,30,28,30,30
14/03/2024 22:47:13,28,30,30,28,30
14/03/2024 22:47:15,31,30,30,31,30
14/03/2024 22:47:18,30,30,30,30,30
14/03/2024 22:47:20,30,32,32,30,32
14/03/2024 22:47:22,29,29,29,30,29
14/03/2024 22:47:24,32,31,31,32,32
14/03/2024 22:47:26,28,29,28,28,28
14/03/2024 22:47:28,30,30,30,30,30
14/03/2024 22:47:31,32,32,31,31,31
14/03/2024 22:47:33,31,31,30,30,31
14/03/2024 22:47:35,30,30,31,32,32
14/03/2024 22:47:38,32,30,31,31,30
14/03/2024 22:47:40,29,31,29,31,29
14/03/2024 22:47:42,31,31,31,31,31
14/03/2024 22:47:44,30,30,31,30,31
14/03/2024 22:47:46,31,31,29,31,29
14/03/2024 22:47:49,31,30,30,31,30
14/03/2024 22:47:51,32,32,31,32,32
14/03/2024 22:47:53,32,31,32,32,32
14/03/2024 22:47:55,32,32,32,32,32
14/03/2024 22:47:58,31,30,31,31,31
14/03/2024 22:48:00,31,31,30,31,31
14/03/2024 22:48:02,30,30,30,30,30
14/03/2024 22:48:04,27,27,27,27,28
14/03/2024 22:48:07,32,32,32,32,32
14/03/2024 22:48:09,28,27,29,28,27
14/03/2024 22:48:11,31,30,31,30,31
14/03/2024 22:48:13,32,32,32,32,32
14/03/2024 22:48:16,32,31,32,32,31
14/03/2024 22:48:18,32,31,31,32,32
14/03/2024 22:48:20,31,31,31,31,31
14/03/2024 22:48:22,31,31,31,31,31
14/03/2024 22:48:25,30,31,31,31,31
14/03/2024 22:48:27,32,31,32,31,32
14/03/2024 22:48:29,31,32,32,32,32
14/03/2024 22:48:31,27,28,28,28,28
14/03/2024 22:48:33,31,31,31,31,31
14/03/2024 22:48:36,32,32,32,32,32
14/03/2024 22:48:38,32,32,31,32,31
14/03/2024 22:48:40,30,30,30,30,30
14/03/2024 22:48:43,30,30,31,31,30
14/03/2024 22:48:45,32,31,31,31,31
14/03/2024 22:48:47,29,29,29,29,29
14/03/2024 22:48:50,32,32,32,32,32
14/03/2024 22:48:52,31,30,30,30,30
14/03/2024 22:48:54,30,30,31,31,31
14/03/2024 22:48:56,32,32,32,32,32
14/03/2024 22:48:58,30,30,30,30,31
14/03/2024 22:49:00,29,29,30,29,30
14/03/2024 22:49:02,31,30,30,31,30
14/03/2024 22:49:05,31,31,31,31,31
14/03/2024 22:49:07,32,32,32,32,31
14/03/2024 22:49:09,32,32,32,31,32
14/03/2024 22:49:12,32,32,32,31,32
14/03/2024 22:49:14,29,29,29,29,29
14/03/2024 22:49:16,29,29,29,30,30
14/03/2024 22:49:18,28,29,29,29,29
14/03/2024 22:49:20,32,32,32,32,32
14/03/2024 22:49:22,32,32,32,32,32
14/03/2024 22:49:25,31,32,32,32,32
14/03/2024 22:49:27,29,29,30,29,29
14/03/2024 22:49:29,31,30,31,31,31
14/03/2024 22:49:31,31,32,30,31,29
14/03/2024 22:49:33,29,29,29,29,30
14/03/2024 22:49:36,32,32,32,32,31
14/03/2024 22:49:38,32,32,32,32,32
14/03/2024 22:49:40,29,30,29,29,29
14/03/2024 22:49:42,32,31,32,32,31
14/03/2024 22:49:45,30,30,30,30,30
14/03/2024 22:49:47,30,30,30,30,30
14/03/2024 22:49:49,32,31,32,32,32
14/03/2024 22:49:51,31,31,31,31,31
14/03/2024 22:49:54,32,31,32,32,32
14/03/2024 22:49:56,32,32,31,32,32
14/03/2024 22:49:58,31,31,32,32,31
14/03/2024 22:50:00,31,32,32,32,32
14/03/2024 22:50:03,31,30,30,30,31
14/03/2024 22:50:06,31,30,31,31,31
14/03/2024 22:50:10,32,32,31,32,31
14/03/2024 22:50:15,32,32,32,32,32
14/03/2024 22:50:19,32,32,32,31,31
14/03/2024 22:50:24,32,32,32,31,31
14/03/2024 22:50:28,28,27,28,28,27
14/03/2024 22:50:33,31,31,31,31,31
14/03/2024 22:50:37,31,31,31,31,31
14/03/2024 22:50:40,32,32,32,32,32
14/03/2024 22:50:42,31,31,31,31,31
14/03/2024 22:50:44,31,31,31,31,31
14/03/2024 22:50:46,31,30,31,31,32
